keyword,url,title,timestamp,ip,clicks
1,http://svenstinkt.uni-frankfurt.de,http://svenstinkt.uni-frankfurt.de,"2015-08-18 18:35:02",141.2.134.86,25
1-0,http://www-stud.informatik.uni-frankfurt.de/~kallmaye/p/start.html,http://www-stud.informatik.uni-frankfurt.de/~kallmaye/p/start.html,"2019-07-10 14:11:47",141.2.134.0,137
10jahre-wollheim-memorial,https://aktuelles.uni-frankfurt.de/event/10-jahre-wollheim-memorial/,"10 Jahre Wollheim Memorial – Aktuelles aus der Goethe-Universität Frankfurt","2017-10-12 15:04:22",141.2.154.0,21
11102019,https://evaluation.studiumdigitale.uni-frankfurt.de/evasys/online.php?,"EvaSys Onlineumfrage - Anmeldebildschirm","2019-10-11 09:38:52",178.4.91.0,7
14102019,https://evaluation.studiumdigitale.uni-frankfurt.de/evasys/online.php?,"EvaSys Onlineumfrage - Anmeldebildschirm","2019-10-14 11:32:25",141.2.134.0,18
18Pr,https://evaluation.studiumdigitale.uni-frankfurt.de/evasys/online.php?p=YM71X,"EvaSys Onlineumfrage - Selbstauskunft WiSe 2018/19","2018-10-18 12:01:48",141.2.214.0,0
1968,https://www.ub.uni-frankfurt.de/themen/1968.html,"50 Jahre nach «1968»","2019-02-05 08:56:39",141.2.32.0,72
19WiSe-BA5Twardella,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6342737926/CourseNode/93668888136012,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6342737926/CourseNode/93668888136012,"2018-09-12 11:25:09",95.222.31.0,1
19WiSe-BA89Jugend,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6342737925/CourseNode/97487266590019,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6342737925/CourseNode/97487266590019,"2018-09-12 11:15:10",95.222.31.0,6
19WiSe-BW-ASb2Hummrich,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6346244127/CourseNode/88153247214452?81,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6346244127/CourseNode/88153247214452?81,"2018-09-13 20:18:49",95.222.26.0,2
19WiSe-BW-BSb2Camphausen,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6332121105/CourseNode/93668888129561,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6332121105/CourseNode/93668888129561,"2018-09-07 22:16:30",95.222.31.0,1
19WiSe-BW-BSb2Martens,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6340018191/CourseNode/93668888136012,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6340018191/CourseNode/93668888136012,"2018-09-11 23:16:41",95.222.31.0,1
19WiSe-BW-BSb2Mnzinger,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6420693078/CourseNode/93668888136012?21,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6420693078/CourseNode/93668888136012?21,"2018-10-10 18:29:35",95.222.26.0,2
19WiSe-BW-BSb2Storch,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6338281501/CourseNode/97487263096210?26,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6338281501/CourseNode/97487263096210?26,"2018-09-10 21:44:27",95.222.31.0,2
19WiSe-BW-CFhrungKarakoc,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6338281494/CourseNode/93668888136012,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6338281494/CourseNode/93668888136012,"2018-09-10 17:25:25",95.222.31.0,3
19WiSe-BW-CSb2Fhrung,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6338281496?65,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6338281496?65,"2018-09-11 19:39:45",95.222.31.0,1
19WiSe-BW-CSb2Introvigne,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6436749447/CourseNode/93668888136012,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6436749447/CourseNode/93668888136012,"2018-10-15 18:01:42",95.222.26.0,6
19WiSe-BW-CSb2Karakoc,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6338281494/CourseNode/93668888136012,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6338281494/CourseNode/93668888136012,"2018-09-10 17:13:56",95.222.31.0,4
19WiSe-BW-CSb2Moschee,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6338281494?63,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6338281494?63,"2018-09-11 19:38:39",95.222.31.0,1
19WiSe-BW-CSb3,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6340018188/CourseNode/93668888136740,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6340018188/CourseNode/93668888136740,"2018-09-11 19:35:19",95.222.31.0,3
19WiSe-BW-CSb3ErzKminek,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6335627267/CourseNode/94175012363677?30,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6335627267/CourseNode/94175012363677?30,"2018-09-09 23:27:28",95.222.31.0,2
19WiSe-BW-CSb3Inklusion,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6416695305/CourseNode/97111480186154?8,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6416695305/CourseNode/97111480186154?8,"2018-10-09 10:48:51",95.222.25.0,2
19WiSe-BW-CSb3Kminek,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6335627266/CourseNode/94175012362710,https://olat-ce.server.uni-frankfurt.de/olat/auth/RepositoryEntry/6335627266/CourseNode/94175012362710,"2018-09-09 23:01:33",95.222.31.0,7
